0,v155dcexistCupoTarjCred,bancofalabellaBfcupoDeTarjetaDeCredito
0,v168dcexistCupLineaSobreGiro,bancofalabellaBfcupoLineaSobregiro
0,v143dcexistDeudaComerc,bancofalabellaBfdeudaComercial
0,v142dcexistDeudaComeCastig,bancofalabellaBfdeudaComercialCastigada
0,v129dcexistDeudaConsumoAlDia,bancofalabellaBfdeudaConsumoAlDia
0,v132dcexistDeudaConsumoCastig,bancofalabellaBfdeudaConsumoCastigada
0,v130dcexistDeudaConsumoMorosa,bancofalabellaBfdeudaConsumoMorosa
0,v131dcexistDeudaConsumoVencida,bancofalabellaBfdeudaConsumoVencida
0,v157dcexistDeudaHipoAlDia,bancofalabellaBfdeudaHipotecarioAlDia
0,v160dcexistDeudaHipoCastig,bancofalabellaBfdeudaHipotecarioCastigada
0,v167dcexistDeudaLineaSobreGiro,bancofalabellaBfdeudaLineaSobregiro
0,v165dcexistDeudaLineaSobreGiroCastig,bancofalabellaBfdeudaLineaSobregiroCastigada
0,v149dcexistTarjCredDia,bancofalabellaBfdeudaTarjetaCreditoAlDia
0,v152dcexistDeudaTarjCredCastig,bancofalabellaBfdeudaTarjetaCreditoCastigada
0,v150dcexistDeudaTarjCredMorosa,bancofalabellaBfdeudaTarjetaCreditoMorosa
0,v151dcexistDeudaTarjCredVencida,bancofalabellaBfdeudaTarjetaCreditoVencida
0,v123dcexistMaximaMoraClieUltimos3Meses,bancofalabellaBfmaximaMoraDelClienteEnLosUltimosTresMeses
0,v173dcexistMaxDiasMoraComerc,bancofalabellaBfmaximoDiasMoraComercial
0,v170dcexistMaxDiasMoraConsumo,bancofalabellaBfmaximoDiasMoraConsumo
0,v174dcexistMaxDiasMoraHipo,bancofalabellaBfmaximoDiasMoraHipotecario
0,v177dcexistMaxDiasMoraSgnp,bancofalabellaBfmaximoDiasMoraSgnp
0,v178dcexistMaxDiasMoraTarj,bancofalabellaBfmaximoDiasMoraTarjeta
0,v190dcexistMontoRentaCompro,bancofalabellaBfmontoRentaComprobada
0,v194dcexistMontoRentaComproAvalCode,bancofalabellaBfmontoRentaComprobadaAvalcodeudor
0,v191dcexistMontoRentaDeclarada,bancofalabellaBfmontoRentaDeclarada
0,v195dcexistMontoRentaDeclaradaAvalCode,bancofalabellaBfmontoRentaDeclaradaAvalcodeudor
0,v201dcexistMontoRentaEvalMasiva,bancofalabellaBfmontoRentaEvaluacionMasiva
30000000,v186dcexistMontoRentaIngresada,bancofalabellaBfmontoRentaIngresada
0,v192dcexistMontoRentaUltimaEval,bancofalabellaBfmontoRentaUltimaEvaluacion
0,v184dcexistProtInternFondoVige,bancofalabellaBfprotestosInternosPorFondo
0,v185dcexistProtInternFondoHistoriPeriodo,bancofalabellaBfprotestosInternosPorFondoHistoricoEnPeriodoN
0,v182dcexistProtInternFormaVige,bancofalabellaBfprotestosInternosPorForma
0,v183dcexistProtInternFormaHistoriPeriodo,bancofalabellaBfprotestosInternosPorFormaHistoricoEnPeriodoN
0,v145dcexistValorCuotaComercVige,bancofalabellaBfsumaValorCuotaComercialVigente
0,v134dcexistSumaValorCuotasConsumoVigeS,bancofalabellaBfsumaValorCuotasConsumoVigentes
0,v162dcexistSumaValorDividVige,bancofalabellaBfsumaValorDividendosVigente
0,v202dcexistTipoMontoRentaEvalMasiva,bancofalabellaBftipoMontoRentaEvaluacionMasiva
2,v187dcexistTipoMontoRentaIngresada,bancofalabellaBftipoMontoRentaIngresada
0,v244dcexistCantCuotasPagCredConsol,bancofalabellaBfcantidadDeCuotasPagadasCreditoAConsolidacion
0,v244dcexistCantCuotasPagCredConsol,bancofalabellaBfcantidadDeCuotasPagadasCreditoAConsolidacion
0,v244dcexistCantCuotasPagCredConsol,bancofalabellaBfcantidadDeCuotasPagadasCreditoAConsolidacion
0,v239dcexistCantCuotasPagadasCredRefin,bancofalabellaBfcantidadDeCuotasPagadasCreditoARefinanciamiento
0,v239dcexistCantCuotasPagadasCredRefin,bancofalabellaBfcantidadDeCuotasPagadasCreditoARefinanciamiento
